rank_global,rank_posicion,player_id,name,gender,age,position,alternative_positions,n_alternative_positions,ovr,pac,sho,pas,dri,def,phy,acceleration,sprint_speed,positioning,finishing,shot_power,long_shots,volleys,penalties,vision,crossing,free_kick_accuracy,short_passing,long_passing,curve,dribbling,agility,balance,reactions,ball_control,composure,interceptions,heading_accuracy,def_awareness,standing_tackle,sliding_tackle,jumping,stamina,strength,aggression,height_cm,weight_kg,preferred_foot,weak_foot,skill_moves,play_styles,n_play_styles,n_play_styles_plus,nation,league,team,name_key
3933,529,271477,Alessandro Bianco,M,23,CM,CDM,1,71,69,56,71,74,65,59,74,64,53,53,61,62,53,51,62,72,64,76,72,65,72,78,82,70,76,69,66,59,66,64,64,62,74,49,63,173.0,67.0,Right,3,2,Long Ball Pass,1,0,Italy,Hellas Liga,PAOK FC,alessandro bianco
3933,814,268913,Alessandro Circati,M,22,CB,,0,71,59,35,53,49,72,77,54,63,25,24,52,41,45,36,42,45,39,63,65,41,42,37,55,71,58,55,72,71,71,72,71,78,74,80,72,190.0,84.0,Right,3,2,Aerial Fortress,1,0,Australia,Serie A Enilive,Parma,alessandro circati
3933,589,269643,Alex Forés,M,24,ST,,0,71,71,73,56,67,37,62,70,71,74,76,74,67,69,74,42,53,50,70,50,46,65,70,74,73,68,66,30,72,36,33,30,75,76,62,40,180.0,68.0,Right,3,3,,0,0,Spain,LALIGA EA SPORTS,R. Oviedo,alex fores
3933,814,209210,Alex Grant,M,32,CB,,0,71,53,46,54,56,69,83,48,57,48,43,63,37,42,40,36,37,32,70,74,46,54,47,65,60,60,58,70,68,70,69,67,77,74,93,70,191.0,83.0,Left,3,2,Aerial Fortress|Block|Long Ball Pass|Precision Header,4,0,Australia,A-League,Sydney FC,alex grant
3933,814,231111,Alexander Hack,M,32,CB,,0,71,54,38,59,50,72,76,55,54,32,36,49,34,26,45,55,53,31,66,71,43,48,40,46,70,50,63,73,76,71,72,67,75,65,82,73,193.0,88.0,Left,3,2,,0,0,Germany,MLS,Red Bulls,alexander hack
3933,589,221605,Alexander Jeremejeff,M,32,ST,,0,71,67,71,61,63,29,68,65,69,76,77,68,59,61,76,53,70,44,66,54,60,62,54,40,69,69,70,18,75,33,21,17,83,68,80,36,192.0,82.0,Right,3,2,Finesse Shot,1,0,Sweden,Hellas Liga,Panathinaikos,alexander jeremejeff
3933,589,223510,Alexandre Mendy,M,32,ST,,0,71,71,71,52,66,25,79,70,72,72,73,75,63,63,75,35,52,50,65,43,60,63,72,57,67,68,68,29,75,16,17,17,87,74,86,64,185.0,96.0,Right,3,2,Aerial Fortress,1,0,Guinea-Bissau,Ligue 2 BKT,Montpellier,alexandre mendy
3933,386,222982,Alexis Blin,M,29,CDM,CM,1,71,31,54,63,65,68,77,31,31,58,51,63,52,48,52,59,57,46,70,68,62,64,64,69,72,65,70,72,58,68,69,68,59,89,72,78,186.0,78.0,Right,3,2,,0,0,France,Serie BKT,Palermo,alexis blin
3933,302,231507,Alexis Soto,M,32,LB,CB,1,71,79,46,63,71,64,76,76,81,49,43,56,42,39,47,73,57,67,66,46,79,72,76,77,64,70,58,66,52,63,67,65,75,81,76,72,176.0,75.0,Left,2,3,Intercept|Long Ball Pass,2,0,Argentina,LPF,Defensa,alexis soto
3933,296,278286,Alfie Gilchrist,M,22,RB,CB|RM,2,71,61,42,60,62,73,71,59,62,49,40,48,38,42,42,57,54,40,69,64,48,60,57,57,70,67,65,72,68,73,74,72,64,70,72,70,184.0,78.0,Right,2,2,Block,1,0,England,EFL Championship,West Brom,alfie gilchrist
3933,814,236315,Alfie Jones,M,28,CB,,0,71,64,40,59,59,71,77,63,65,45,37,49,38,37,44,42,59,36,70,67,49,56,52,61,68,64,68,70,71,71,72,70,72,78,78,75,191.0,87.0,Right,3,2,Intercept|Long Ball Pass,2,0,England,EFL Championship,Middlesbrough,alfie jones
3933,253,255876,Alfonso Trezza,M,26,RM,LM|ST|RW,3,71,88,70,61,72,50,68,86,89,68,71,78,66,61,61,65,62,50,64,50,62,71,89,92,72,68,51,62,35,40,55,60,58,90,54,76,166.0,59.0,Right,2,3,Quick Step|Rapid,2,0,Uruguay,Liga Portugal,Arouca,alfonso trezza
3933,253,243551,Ali Gholizadeh,M,30,RM,RW,1,71,71,67,69,72,46,65,74,69,68,68,69,69,58,55,68,69,65,70,67,71,72,76,79,65,70,69,42,34,47,53,42,58,74,62,63,176.0,72.0,Left,3,4,Finesse Shot|Inventive|Technical,3,0,Iran,PKO BP Ekstraklasa,Lech Poznań,ali gholizadeh
3933,268,263882,Alieu Fadera,M,24,LM,LW,1,71,82,64,64,76,58,69,80,83,63,64,70,62,55,51,66,65,47,67,58,66,77,83,73,64,76,69,49,53,58,65,57,71,70,67,72,182.0,80.0,Right,4,3,,0,0,Gambia,Serie A Enilive,Sassuolo,alieu fadera
3933,296,241445,Alpha Sissoko,M,29,RB,,0,71,81,33,65,66,64,71,84,79,55,31,37,28,35,38,74,54,32,71,67,57,63,65,77,66,68,65,65,66,63,64,65,79,79,66,72,178.0,68.0,Right,2,2,Intercept|Long Throw,2,0,France,Ligue 2 BKT,En Avant Guingamp,alpha sissoko
3933,268,224874,Amahl Pellegrino,M,35,LM,LW,1,71,82,73,64,71,38,58,81,82,75,72,76,75,71,69,65,66,71,60,59,80,69,84,55,72,71,73,37,62,35,33,40,71,76,54,44,190.0,68.0,Right,3,4,Finesse Shot|Incisive Pass,2,0,Norway,MLS,San Diego FC,amahl pellegrino
3933,814,261793,Amber Tysiak,F,26,CB,,0,71,67,38,44,57,71,72,64,69,23,44,39,28,29,37,29,33,26,65,45,25,51,63,76,64,61,52,67,69,66,78,74,75,66,74,73,177.0,70.0,Right,3,2,Precision Header,1,0,Belgium,Barclays WSL,West Ham,amber tysiak
3933,589,256453,Amin Sarr,M,25,ST,,0,71,85,70,60,72,32,66,86,84,68,68,74,71,71,62,55,63,51,65,52,68,75,78,55,65,72,65,22,64,30,32,28,82,67,71,49,188.0,83.0,Right,4,3,,0,0,Sweden,Serie A Enilive,Hellas Verona,amin sarr
3933,589,272668,Amine El Ouazzani,M,24,ST,RM|RW,2,71,68,70,61,69,20,72,69,67,76,73,71,64,55,69,62,66,52,68,45,51,68,62,68,71,71,72,13,71,12,17,19,80,78,75,57,188.0,82.0,Left,2,3,Precision Header,1,0,Morocco,Liga Portugal,SC Braga,amine el ouazzani
3933,302,268728,Anass Salah-Eddine,M,24,LB,LM,1,71,82,42,68,73,65,64,80,84,67,38,50,39,32,37,66,68,39,74,68,66,74,79,72,68,72,72,66,53,65,67,65,68,71,59,65,181.0,66.0,Left,3,3,First Touch,1,0,Holland,Eredivisie,PSV,anass salah eddine
3933,814,236260,Anderson Santamaría,M,34,CB,,0,71,62,60,64,66,71,77,55,68,62,55,72,60,58,62,61,62,64,67,66,59,68,60,61,58,68,66,70,75,70,71,71,79,75,80,70,184.0,79.0,Right,3,3,Precision Header,1,0,Peru,Libertadores,Universitario,anderson santamaria
3933,589,259107,Andrea Adorante,M,26,ST,,0,71,71,71,58,70,38,74,72,70,72,74,75,62,61,69,62,54,50,62,51,62,71,64,63,65,73,61,21,71,45,34,29,84,70,76,70,184.0,70.0,Right,4,2,Enforcer|Precision Header,2,0,Italy,Serie BKT,Venezia,andrea adorante
3933,589,262447,Andrea Compagno,M,29,ST,,0,71,58,71,50,63,33,81,49,65,75,74,71,58,73,82,30,54,53,63,42,48,62,51,34,71,69,71,27,76,29,30,22,83,75,89,70,195.0,84.0,Right,4,2,Enforcer,1,0,Italy,K League 1,Jeonbuk Hyundai,andrea compagno
3933,99,237290,Andrea Falcón,F,29,LW,ST|LM,2,71,68,68,72,71,52,59,67,69,70,72,67,66,48,58,77,67,57,75,71,78,73,63,72,67,74,61,52,44,48,63,42,56,55,60,60,173.0,63.0,Left,3,3,Technical,1,0,Spain,Liga Portugal Feminino,SL Benfica,andrea falcon
3933,589,277073,Andrea Gómez,F,22,ST,CAM|LM|CM,3,71,74,70,71,73,45,70,74,74,67,71,72,72,70,57,69,69,65,74,70,66,75,71,74,60,74,68,39,74,37,47,47,86,58,80,56,181.0,73.0,Right,3,3,,0,0,Spain,Liga F Moeve,Granada CF,andrea gomez
3933,93,79107,Andrija Maksimović,M,18,RW,CAM|RM,2,71,71,70,72,70,37,59,70,71,69,72,68,70,65,71,73,71,71,75,68,73,70,71,73,70,70,70,42,40,41,31,30,58,71,65,31,182.0,70.0,Left,3,4,Finesse Shot|Incisive Pass,2,0,Serbia,Bundesliga,RB Leipzig,andrija maksimovic
3933,386,210646,André Rømer,M,32,CDM,CM,1,71,57,56,65,66,68,76,60,54,61,54,68,44,58,60,62,59,50,72,67,62,64,67,66,66,68,70,71,59,69,67,66,69,85,73,73,186.0,78.0,Right,3,2,Aerial Fortress|Relentless,2,0,Denmark,3F Superliga,Randers FC,andre r mer
3933,529,267293,Angharad James-Turner,F,31,CM,CDM,1,71,53,63,73,69,70,68,42,62,71,59,71,67,57,50,73,72,68,76,70,70,67,65,70,70,73,63,70,55,73,71,69,59,67,68,70,162.0,57.0,Right,3,2,Anticipate|Block,2,0,Wales,NWSL,Seattle Reign,angharad james turner
3933,302,275942,Anna Sandberg,F,22,LB,LM,1,71,75,57,69,65,69,62,75,75,62,54,60,56,54,64,71,59,60,76,69,67,60,77,77,65,68,60,68,58,70,71,68,69,65,60,61,166.0,60.0,Left,3,3,Rapid,1,0,Sweden,Barclays WSL,Manchester Utd,anna sandberg
3933,296,265129,Anna Weiß,F,27,RB,RM,1,71,68,50,60,57,72,71,69,68,43,51,54,49,38,48,59,52,41,67,65,44,49,60,65,69,65,58,74,66,72,73,71,75,70,73,66,172.0,65.0,Right,2,2,,0,0,Germany,GPFBL,Union Berlin,anna wei
3933,589,210671,Anthony Partipilo,M,31,ST,RM|CAM,2,71,85,70,67,70,43,64,84,86,72,68,75,72,62,62,62,63,64,71,67,76,70,76,74,72,68,67,45,67,40,40,35,78,78,62,50,181.0,74.0,Left,2,3,,0,0,Italy,Serie BKT,Bari,anthony partipilo
3933,296,234072,Anthony Ralston,M,27,RB,RM,1,71,76,59,69,70,64,78,74,77,66,58,68,54,55,44,66,71,41,73,72,67,68,73,76,70,69,72,63,68,59,68,67,81,81,77,76,183.0,78.0,Right,3,2,,0,0,Scotland,Scottish Prem,Celtic,anthony ralston
3933,386,229336,Anto Grgić,M,29,CDM,CM,1,71,61,68,76,66,65,74,63,60,72,66,71,70,53,85,75,73,73,78,76,78,62,64,69,67,72,75,68,58,70,61,58,72,81,76,62,189.0,79.0,Right,3,3,Long Ball Pass|Whipped Pass,2,0,Switzerland,Brack Super League,FC Lugano,anto grgic
3933,253,237198,Antoine Leautey,M,29,RM,RW,1,71,90,64,63,73,45,58,91,90,66,63,73,61,57,58,63,65,60,64,58,62,73,89,85,63,69,55,45,28,49,48,39,54,90,47,48,172.0,66.0,Right,3,3,Inventive|Long Throw|Quick Step|Whipped Pass,4,0,France,Ligue 2 BKT,Stade de Reims,antoine leautey
3933,529,261108,Antoni Kozubal,M,21,CM,CDM|CB,2,71,68,57,68,71,61,74,72,65,64,58,57,60,36,52,63,68,54,74,72,54,69,79,73,68,72,68,64,50,58,67,60,68,91,69,66,176.0,68.0,Right,3,2,Incisive Pass|Relentless,2,0,Poland,PKO BP Ekstraklasa,Lech Poznań,antoni kozubal
3933,814,199174,Antonio Caracciolo,M,35,CB,,0,71,52,32,48,59,72,76,57,47,28,38,25,29,22,30,41,34,30,61,58,27,52,68,71,68,60,70,74,69,75,71,69,77,71,82,69,185.0,83.0,Right,3,2,Block|Intercept,2,0,Italy,Serie A Enilive,Pisa,antonio caracciolo
3933,814,226518,Antonio Milić,M,32,CB,,0,71,44,42,63,50,70,83,42,46,45,34,57,45,37,43,61,54,64,66,66,68,43,40,45,67,60,65,71,71,70,71,67,78,82,90,70,190.0,81.0,Left,3,2,Bruiser|Long Ball Pass,2,0,Croatia,PKO BP Ekstraklasa,Lech Poznań,antonio milic
3933,589,220785,Antonio Čolak,M,32,ST,,0,71,66,73,57,69,34,75,65,67,72,75,72,70,71,69,47,63,46,64,45,65,68,69,64,68,72,74,28,73,32,31,20,82,68,79,71,188.0,77.0,Right,3,3,,0,0,Croatia,PKO BP Ekstraklasa,Legia Warszawa,antonio colak
3933,814,240008,Antonios Papadopoulos,M,26,CB,,0,71,66,33,56,59,68,83,65,66,37,27,46,33,29,35,43,52,30,70,65,28,54,64,64,67,64,59,70,65,69,68,66,87,83,84,81,185.0,83.0,Right,3,2,Bruiser|Long Ball Pass,2,0,Germany,Brack Super League,FC Lugano,antonios papadopoulos
3933,268,263947,Antony,M,24,LM,RM|LW,2,71,89,59,64,72,40,57,89,89,69,67,58,40,53,62,67,65,50,65,60,59,73,78,62,66,72,67,23,47,41,45,48,67,60,57,49,178.0,66.0,Right,3,3,Technical,1,0,Brazil,MLS,Portland Timbers,antony
3933,814,209597,Antônio Carlos,M,33,CB,,0,71,54,34,43,44,71,81,61,49,30,28,48,29,36,45,30,33,35,56,50,32,33,59,33,65,52,60,70,73,68,73,69,85,69,89,74,191.0,79.0,Right,2,2,Long Ball Pass,1,0,Brazil,MLS,Houston Dynamo,antonio carlos
3933,268,271219,Arbnor Muja,M,27,LM,RM|RW|LW,3,71,89,67,65,72,46,66,87,91,69,63,73,71,58,67,65,62,61,68,60,68,72,82,83,62,69,68,46,53,38,51,45,72,77,60,68,179.0,69.0,Right,5,3,,0,0,Albania,1A Pro League,STVV,arbnor muja
3933,99,221919,Arbër Zeneli,M,31,LW,LM,1,71,68,70,72,73,35,60,70,67,64,68,74,71,63,71,76,73,68,73,59,79,74,75,75,69,73,70,39,50,33,33,24,61,61,58,62,176.0,72.0,Right,3,4,Gamechanger|Technical,2,0,Kosovo,Allsvenskan,IF Elfsborg,arber zeneli
3933,302,262968,Archie Brown,M,23,LB,LM,1,71,85,48,65,71,62,79,79,89,65,44,58,46,40,35,70,59,43,70,64,59,74,67,49,70,71,66,62,52,61,65,68,78,79,81,72,190.0,86.0,Left,3,3,Long Throw+|Quick Step,2,1,England,Trendyol Süper Lig,Fenerbahçe,archie brown
3933,529,275581,Arene Altonaga,F,33,CM,CDM,1,71,60,57,61,70,71,74,53,65,71,50,65,61,65,51,40,70,44,70,67,45,68,56,67,79,74,77,76,55,69,74,72,66,76,74,71,159.0,53.0,Right,2,2,Bruiser,1,0,Spain,Liga F Moeve,SD Eibar,arene altonaga
3933,296,253294,Armando Méndez,M,30,RB,RM,1,71,80,37,52,60,66,87,83,78,55,41,33,29,31,39,61,32,29,64,47,47,61,55,72,66,57,59,66,48,65,70,74,82,82,95,72,176.0,82.0,Right,3,2,Long Throw|Rapid,2,0,Uruguay,LPF,Lanús,armando mendez
3933,589,259162,Armindo Sieb,M,23,ST,CAM,1,71,83,70,57,76,27,66,84,82,73,71,72,67,66,61,47,62,43,65,50,48,76,85,81,72,75,64,24,59,31,18,11,77,67,70,53,175.0,82.0,Right,4,3,,0,0,Germany,Bundesliga,1. FSV Mainz 05,armindo sieb
3933,296,275028,Arthur,M,23,RB,RM,1,71,83,40,66,73,63,57,80,85,63,35,43,42,38,46,74,65,42,73,51,64,72,78,75,71,76,60,65,60,62,64,64,66,65,49,63,174.0,69.0,Right,3,4,,0,0,Brazil,Bundesliga,Leverkusen,arthur
3933,529,69997,Arthur Avom Ebong,M,21,CM,,0,71,70,54,66,74,64,68,71,69,68,52,58,55,48,39,59,67,42,74,69,54,72,72,75,66,78,71,64,55,58,73,67,68,81,63,64,173.0,68.0,Right,2,3,,0,0,Cameroon,Ligue 1 McDonald's,FC Lorient,arthur avom ebong
3933,386,234122,Artur,M,30,CDM,CM,1,71,62,43,63,68,68,75,57,66,48,34,54,47,37,57,51,62,59,69,73,49,66,74,68,68,70,69,66,61,69,71,69,70,76,73,80,181.0,70.0,Right,2,3,Long Ball Pass,1,0,Brazil,MLS,Houston Dynamo,artur
3933,296,223255,Aslak Fonn Witry,M,30,RB,LB|RM,2,71,78,57,67,67,66,68,77,78,65,55,64,59,40,48,70,65,66,67,64,71,65,73,73,67,66,67,66,55,67,67,66,70,86,61,64,178.0,67.0,Right,3,3,,0,0,Norway,Eliteserien,Rosenborg BK,aslak fonn witry
3933,529,272288,Athanasia Moraitou,F,29,CM,,0,71,56,62,71,68,69,70,47,64,69,61,65,64,39,60,65,72,67,75,72,59,65,66,73,71,72,65,72,64,69,71,65,65,76,70,65,167.0,57.0,Left,2,2,,0,0,Greece,GPFBL,Union Berlin,athanasia moraitou
3933,589,242019,Augusto Lotti,M,29,ST,CAM|CM,2,71,80,72,58,69,30,73,73,85,70,74,75,69,58,66,49,64,47,62,60,56,68,69,72,64,73,63,19,65,19,35,31,83,71,85,45,179.0,70.0,Right,3,3,,0,0,Argentina,LPF,Platense,augusto lotti
3933,253,212214,Augusto Solari,M,34,RM,RB|RW,2,71,81,62,69,72,58,71,78,84,69,64,65,59,37,57,69,68,71,70,68,73,70,86,74,68,70,73,65,63,53,55,61,79,70,72,69,180.0,80.0,Right,3,3,Rapid,1,0,Argentina,LPF,Unión,augusto solari
3933,814,270846,Aurèle Amenda,M,22,CB,,0,71,68,27,51,48,69,75,71,65,38,23,42,18,27,36,40,35,23,69,65,26,42,35,35,66,58,62,66,62,72,71,69,83,39,90,78,194.0,90.0,Right,3,2,Aerial Fortress|Bruiser|Long Ball Pass,3,0,Switzerland,Bundesliga,Frankfurt,aurele amenda
3933,589,79467,Aurélie Csillag,F,23,ST,,0,71,77,71,59,69,30,67,76,78,72,73,74,68,67,65,53,61,58,65,49,64,68,71,76,65,70,66,26,68,23,29,25,77,69,66,62,173.0,65.0,Right,3,3,,0,0,Switzerland,GPFBL,SC Freiburg,aurelie csillag
3933,814,258517,Axel Norén,M,26,CB,,0,71,66,30,49,59,70,76,67,66,34,28,39,24,22,39,25,42,20,68,63,20,58,50,59,69,62,52,68,70,70,71,69,80,70,82,68,184.0,80.0,Right,3,2,Block,1,0,Sweden,Allsvenskan,Mjällby AIF,axel noren
3933,268,266774,Bae Jun Ho,M,22,LM,CAM|LW,2,71,74,61,69,73,36,55,75,74,67,61,63,60,56,54,67,72,62,71,66,64,73,80,82,69,72,69,25,38,34,41,43,51,72,48,54,178.0,70.0,Right,4,3,Technical,1,0,Korea Republic,EFL Championship,Stoke City,bae jun ho
3933,589,261084,Bamba Dieng,M,26,ST,,0,71,78,72,60,68,33,60,79,78,70,69,83,67,74,72,62,64,55,63,47,54,68,67,71,69,68,69,32,69,24,31,27,77,60,65,42,178.0,72.0,Right,3,3,Rapid,1,0,Senegal,Ligue 1 McDonald's,FC Lorient,bamba dieng
3933,253,233372,Bautista Merlini,M,30,RM,LM|CAM|RW,3,71,81,65,67,73,41,53,84,78,67,67,64,66,51,59,61,72,65,71,60,69,70,89,89,65,72,73,35,44,41,43,47,50,77,34,69,167.0,65.0,Right,3,4,Technical|Whipped Pass,2,0,Argentina,LPF,Gimnasia,bautista merlini
3933,814,248687,Ben Cabango,M,25,CB,,0,71,61,28,47,52,71,76,55,65,27,24,36,26,26,38,31,38,25,64,56,29,47,45,55,69,58,60,71,68,71,71,71,75,68,81,72,186.0,81.0,Right,2,2,Intercept,1,0,Wales,EFL Championship,Swansea City,ben cabango
3933,814,213017,Ben Davies,M,30,CB,,0,71,66,39,59,64,72,72,64,67,37,36,42,39,43,48,61,37,40,71,68,44,60,65,62,71,68,72,71,69,73,72,70,77,65,78,62,185.0,74.0,Left,3,2,Jockey,1,0,England,EFL Championship,Oxford United,ben davies
3933,253,266815,Ben Doak,M,20,RM,RW,1,71,89,61,63,75,28,60,90,89,64,62,61,60,58,58,65,66,57,65,55,63,74,86,85,66,72,71,28,41,21,30,25,64,65,57,60,176.0,64.0,Right,4,4,Quick Step,1,0,Scotland,Premier League,AFC Bournemouth,ben doak
3933,814,228883,Benedikt Gimber,M,29,CB,CDM,1,71,61,48,59,57,71,77,65,57,39,44,62,54,28,28,47,61,29,69,67,30,51,65,63,64,60,64,69,70,72,71,68,78,74,78,78,187.0,84.0,Left,3,2,Bruiser,1,0,Germany,Bundesliga,Heidenheim,benedikt gimber
3933,386,238062,Beni Baningime,M,27,CDM,CM|CB,2,71,46,52,63,70,69,73,47,45,57,48,61,55,37,48,51,66,47,71,68,45,70,67,77,70,70,71,71,58,71,70,67,64,80,73,66,178.0,70.0,Right,3,2,,0,0,Congo DR,Scottish Prem,Hearts,beni baningime
3933,814,263670,Bernardo Vital,M,25,CB,,0,71,69,33,48,51,72,74,68,69,32,27,50,26,30,42,30,34,29,66,60,33,38,61,67,70,60,60,72,70,71,74,71,77,73,75,70,187.0,77.0,Right,3,2,,0,0,Portugal,PKO BP Ekstraklasa,Jagiellonia,bernardo vital
3933,814,240859,Berrocal,M,26,CB,,0,71,58,38,51,53,72,75,52,63,33,29,59,37,34,49,35,42,35,66,58,32,42,61,61,71,62,60,72,68,73,73,70,73,73,78,70,184.0,72.0,Right,2,2,Slide Tackle,1,0,Spain,MLS,Atlanta United,berrocal
3933,529,272147,Bicho,F,22,CM,,0,71,64,68,69,73,62,64,71,59,75,75,66,60,55,59,62,70,60,78,60,59,73,64,60,65,80,71,75,61,65,55,51,68,67,57,75,164.0,59.0,Left,4,3,Precision Header|Press Proven,2,0,Spain,Liga F Moeve,C. Adeje Tenerife,bicho
3933,529,263602,Bilal Nadir,M,22,CM,,0,71,56,64,68,73,59,65,59,53,62,65,68,66,48,58,54,73,55,74,71,59,73,68,63,73,75,71,63,53,57,62,53,61,65,62,72,179.0,65.0,Left,3,3,,0,0,Morocco,Ligue 1 McDonald's,OM,bilal nadir
3933,529,210831,Birger Verstraete,M,31,CM,CDM,1,71,60,66,70,72,67,71,70,52,66,60,77,69,44,80,67,66,73,72,74,71,69,80,79,67,75,68,69,64,62,70,68,70,79,62,83,174.0,71.0,Right,3,3,Press Proven|Slide Tackle,2,0,Belgium,1A Pro League,OH Leuven,birger verstraete
3933,814,257253,Bobby Thomas,M,25,CB,,0,71,60,49,51,54,70,81,56,64,46,48,62,40,45,45,29,55,33,63,60,33,54,45,47,65,56,60,69,73,69,70,67,81,72,84,85,193.0,77.0,Right,3,2,Aerial Fortress|Block|Intercept|Precision Header,4,0,England,EFL Championship,Coventry City,bobby thomas
3933,296,264516,Bongokuhle Hlongwane,M,25,RB,RM|RW,2,71,80,67,60,72,66,70,79,81,70,69,72,62,54,68,65,64,38,66,45,45,73,67,73,69,72,66,62,63,68,69,62,79,79,72,49,182.0,75.0,Right,3,4,Rapid,1,0,South Africa,MLS,Minnesota United,bongokuhle hlongwane
3933,814,262119,Boris Tomiak,M,27,CB,CDM,1,71,73,45,46,41,71,81,67,77,33,40,62,41,27,65,34,34,25,61,54,31,28,59,47,67,46,55,69,72,73,72,69,85,77,86,70,191.0,82.0,Right,3,2,Anticipate|Precision Header,2,0,Germany,Bundesliga 2,Hannover 96,boris tomiak
3933,302,241673,Borna Barišić,M,33,LB,LM,1,71,66,63,73,68,68,69,67,66,68,55,75,65,61,66,74,70,79,73,68,86,68,68,63,65,70,69,69,66,65,69,69,74,70,71,59,186.0,80.0,Left,2,3,Dead Ball|Whipped Pass,2,0,Croatia,Trendyol Süper Lig,Trabzonspor,borna barisic
3933,386,252975,Boubacar Traoré,M,24,CDM,CM|CB,2,71,66,53,68,71,66,71,65,67,62,45,68,56,44,52,58,69,47,75,73,52,70,71,68,68,72,70,66,57,64,69,68,70,63,73,75,183.0,67.0,Right,2,2,,0,0,Mali,Ligue 1 McDonald's,FC Metz,boubacar traore
3933,814,225396,Branco Ampuero,M,32,CB,RB|RM,2,71,48,30,53,47,71,73,42,53,27,28,42,21,24,47,44,40,38,66,61,31,36,51,60,71,52,62,71,68,72,71,71,71,59,81,73,180.0,83.0,Right,3,2,Jockey,1,0,Chile,Liga Chile,Uni. Católica,branco ampuero
3933,314,209504,Branimir Hrgota,M,33,CAM,ST|CM,2,71,70,73,65,74,25,67,76,65,71,73,75,73,72,68,59,69,63,70,53,75,75,76,67,71,74,66,17,52,22,28,17,70,82,67,45,185.0,76.0,Left,4,3,Chip Shot|Finesse Shot|First Touch|Gamechanger|Incisive Pass|Technical,6,0,Sweden,Bundesliga 2,Fürth,branimir hrgota
3933,814,258315,Bright Arrey-Mbi,M,23,CB,LB,1,71,84,29,51,63,70,79,76,90,37,25,38,24,30,33,35,46,29,67,55,31,58,70,68,70,66,62,72,67,68,70,70,84,80,82,71,187.0,80.0,Left,3,2,Jockey,1,0,Germany,Liga Portugal,SC Braga,bright arrey mbi
3933,814,234226,Bruno Viana,M,31,CB,,0,71,66,41,55,56,71,78,68,65,34,36,57,37,39,52,43,42,42,70,62,44,51,53,55,70,60,66,70,74,71,70,69,75,77,80,74,187.0,79.0,Right,3,2,Anticipate|Long Ball Pass|Long Throw|Slide Tackle,4,0,Brazil,Trendyol Süper Lig,Alanyaspor,bruno viana
3933,253,207641,Bryan Carrasco,M,35,RM,RW|ST,2,71,85,64,64,73,42,63,86,85,67,65,66,56,61,85,66,62,58,66,62,70,73,86,71,61,72,68,48,53,33,45,39,72,65,61,64,172.0,71.0,Right,3,3,Dead Ball|Rapid,2,0,Chile,Sudamericana,Palestino,bryan carrasco
3933,268,272734,Bryan Reyna,M,27,LM,ST|RM|LW,3,71,89,65,58,75,30,49,86,91,68,69,65,62,53,55,66,50,38,64,55,41,76,88,73,62,74,57,25,41,28,32,29,53,66,41,48,171.0,66.0,Right,2,4,Quick Step|Rapid,2,0,Peru,LPF,Belgrano,bryan reyna
3933,589,254449,Byron Palacios,M,31,ST,,0,71,75,73,57,66,33,66,74,76,74,76,74,65,70,67,50,57,61,62,54,61,65,75,71,65,65,66,29,74,25,32,25,83,66,71,48,185.0,85.0,Right,3,2,Enforcer|Inventive,2,0,Ecuador,Sudamericana,U. Católica,byron palacios
3933,99,236478,Bárbara Latorre,F,33,LW,LM,1,71,76,69,66,73,52,64,79,73,74,70,66,71,66,70,65,69,66,67,62,65,72,73,82,76,71,78,29,62,66,52,44,76,59,67,60,164.0,54.0,Right,2,3,Technical,1,0,Spain,Liga F Moeve,RC Deportivo,barbara latorre
3933,814,245848,Caio Marcelo,M,28,CB,,0,71,74,30,42,48,70,80,70,78,44,25,41,22,32,41,34,36,33,57,32,36,32,68,49,59,59,70,69,71,70,71,67,87,68,89,69,191.0,88.0,Left,3,2,Aerial Fortress|Intercept|Precision Header,3,0,Brazil,K League 1,Daegu FC,caio marcelo
3933,814,76693,Caitlin Hayes,F,30,CB,,0,71,61,38,50,64,72,70,57,65,30,40,53,21,27,55,27,37,30,69,67,23,65,36,58,72,70,66,70,71,75,72,65,73,67,70,73,170.0,60.0,Right,3,2,,0,0,Republic of Ireland,Barclays WSL,Brighton,caitlin hayes
3933,589,239795,Caleb Ekuban,M,32,ST,,0,71,81,70,64,69,28,74,79,82,69,71,70,69,69,63,64,67,50,65,60,72,69,71,64,67,69,66,29,68,22,22,19,84,66,78,71,182.0,80.0,Right,3,3,,0,0,Ghana,Serie A Enilive,Genoa,caleb ekuban
3933,314,240673,Callum Lang,M,27,CAM,RM|ST|CM,3,71,80,70,66,73,49,73,82,79,69,71,71,68,65,68,62,69,60,69,61,61,71,84,81,70,71,68,57,62,38,51,44,77,79,66,83,180.0,70.0,Right,3,3,Gamechanger|Quick Step,2,0,England,EFL Championship,Portsmouth,callum lang
3933,814,205989,Calum Chambers,M,31,CB,CDM,1,71,50,56,67,65,71,70,51,49,57,54,60,58,47,54,68,65,49,71,69,60,65,56,60,70,69,67,71,70,72,72,70,71,54,75,77,182.0,77.0,Right,3,2,,0,0,England,EFL League One,Cardiff City,calum chambers
